,to1820,to1840,to1860,to1880,to1900,to1920,to1940,to1960,to1980,to2000,to2016
Lepidium virginicum,0,0,0,2,0,2,3,3,5,14,4
Lespedeza frutescens,0,0,0,0,2,5,11,1,0,0,0
Lespedeza virginica,0,0,0,0,3,6,5,0,2,12,0
Lilium philadelphicum,0,0,0,0,8,5,11,1,3,4,0
Lindera benzoin,0,0,0,0,0,0,0,1,0,10,13
Lobelia inflata,0,0,0,0,3,10,8,3,21,31,4
Ludwigia alternifolia,0,1,0,2,5,10,8,1,8,10,4
Lupinus perennis,0,0,0,1,3,8,8,4,1,10,0
Lycopus virginicus,0,0,0,0,4,6,8,2,18,17,6
Lysimachia hybrida,0,0,0,0,0,0,0,1,2,0,1
Lysimachia quadrifolia,0,0,0,1,6,8,12,1,12,16,0
Lysimachia thyrsiflora,0,0,0,0,5,7,5,0,3,11,0
Maianthemum racemosum,0,0,0,0,1,0,0,0,0,1,2
Melampyrum lineare,0,0,0,1,2,7,19,2,12,27,1
Mimulus ringens,0,0,0,2,6,10,13,7,16,32,0
Mitchella repens,0,0,0,0,4,5,11,3,7,15,3
Moehringia lateriflora,0,0,0,0,4,6,5,3,4,11,2
Mollugo verticillata,0,0,0,2,3,3,6,2,3,4,1
Monotropa hypopithys,0,0,0,0,3,4,7,1,4,6,1
Monotropa uniflora,0,0,0,0,5,2,4,3,4,11,5
Morella pensylvanica,0,0,0,0,0,0,0,0,0,1,0
Myosotis laxa,0,0,0,0,7,7,3,2,2,13,0
Myrica gale,0,0,0,0,0,0,1,0,1,8,2
Oenothera biennis,0,0,0,1,9,8,6,1,8,16,2
Oxalis stricta,0,0,0,0,2,10,6,4,5,10,3
Packera aurea,0,0,0,0,0,0,0,0,0,0,5
Parthenocissus quinquefolia,0,0,0,0,4,5,6,2,7,19,3
Penthorum sedoides,0,0,0,1,2,6,12,3,8,14,3
Podophyllum peltatum,0,0,0,0,0,0,1,0,1,3,0
Polygala paucifolia,0,0,0,0,8,9,7,2,3,12,4
Polygonum arifolium,0,0,0,0,0,0,1,0,0,3,3
Polygonum hydropiperoides,0,0,0,0,0,0,1,1,0,4,6
Polygonum lapathifolium,0,0,0,0,1,0,1,0,0,1,1
Polygonum pensylvanicum,0,0,0,0,1,0,2,0,0,4,0
Polygonum sagittatum,0,0,0,0,0,1,2,3,0,1,2
Potentilla norvegica,0,0,0,0,5,4,2,0,6,4,0
Prunella vulgaris,0,0,0,1,4,14,16,5,14,20,2
Prunus pensylvanica,0,0,0,0,5,7,4,4,6,18,8
Pyrola chlorantha,0,0,0,0,3,10,8,0,0,0,0
Pyrola elliptica,0,0,0,0,4,8,4,5,6,12,5
Ranunculus abortivus,0,0,0,1,2,0,1,0,1,8,4
Ranunculus recurvatus,0,0,0,0,2,1,1,0,2,12,4
Rhexia virginica,0,0,0,1,11,7,14,2,10,26,0
Rhododendron viscosum,0,0,0,0,5,4,19,13,14,24,4
Rhus copallinum,0,0,0,0,0,0,0,0,0,4,3
Rhus glabra,0,0,0,0,2,4,3,5,6,21,1
Robinia pseudoacacia,0,0,0,0,1,1,0,0,0,2,5
Rorippa islandica,0,0,0,0,0,1,2,1,4,2,0
Rosa nitida,0,0,0,0,0,0,0,0,1,0,0
Sagittaria latifolia,0,0,0,0,7,24,34,9,14,29,4
Sambucus nigra,0,0,0,0,0,1,0,0,0,0,0
Sanicula marilandica,0,0,0,1,4,14,13,4,4,21,1
Sarracenia purpurea,0,0,0,1,5,9,9,1,11,6,6
Saxifraga virginiensis,0,0,0,0,0,4,2,1,5,3,1
Scutellaria galericulata,0,0,0,0,6,4,3,1,2,1,1
Scutellaria lateriflora,0,0,0,0,5,10,12,1,17,20,2
Sicyos angulatus,0,0,0,1,2,2,5,0,3,6,0
Sisyrinchium angustifolium,0,0,0,0,3,10,10,5,4,4,2
Sisyrinchium atlanticum,0,0,0,0,3,9,10,6,2,7,2
Sium suave,0,0,0,0,1,0,3,3,9,13,1
Smilax herbacea,0,0,0,1,5,12,3,1,4,6,2
Smilax rotundifolia,0,0,0,2,4,4,7,1,5,11,2
Solidago bicolor,0,0,0,0,2,1,6,1,3,22,1
Solidago gigantea,0,0,0,1,4,6,9,3,5,6,0
Solidago juncea,0,0,0,0,0,0,0,0,4,18,0
Solidago nemoralis,0,0,0,0,0,2,4,0,3,19,2
Solidago odora,0,0,0,0,0,0,0,0,1,10,1
Solidago rugosa,0,0,0,0,1,3,7,2,4,22,0
Sparganium eurycarpum,0,0,0,0,3,8,3,0,3,3,0
Spiraea alba,0,0,0,0,0,0,0,0,5,11,7
Spiraea tomentosa,0,0,0,1,1,8,10,4,20,26,5
Symphyotrichum cordifolium,0,0,0,0,0,0,0,0,0,0,1
Symplocarpus foetidus,0,0,0,0,3,4,3,2,5,15,1
Thalictrum dioicum,0,0,0,0,0,0,0,0,1,4,0
Thalictrum pubescens,0,0,0,0,0,0,0,0,0,2,2
Thalictrum thalictroides,0,0,0,0,0,0,0,0,1,4,3
Toxicodendron radicans,0,0,0,0,0,0,1,0,0,2,0
Toxicodendron vernix,0,0,0,0,0,1,1,1,3,5,0
Trichostema dichotomum,0,0,0,0,3,4,9,4,12,25,2
Trientalis borealis,0,0,0,0,0,0,0,0,1,7,2
Trillium cernuum,0,0,0,2,6,10,8,5,4,4,0
Trillium grandiflorum,0,0,0,0,0,1,3,0,0,0,0
Triodanis perfoliata,0,0,0,1,3,3,2,0,3,16,1
Utricularia macrorhiza,0,0,0,0,0,0,4,0,0,1,4
Uvularia sessilifolia,0,0,0,0,3,9,8,2,11,17,3
Vaccinium angustifolium,0,0,0,0,1,0,2,4,1,12,5
Vaccinium corymbosum,0,0,0,0,11,15,14,5,10,40,6
Vaccinium oxycoccos,0,0,0,0,4,9,4,1,6,5,2
Vaccinium pallidum,0,0,0,0,0,1,1,0,1,17,2
Vernonia noveboracensis,0,0,0,0,2,3,5,1,2,11,1
Veronica scutellata,0,0,0,1,6,3,2,8,4,3,0
Viburnum acerifolium,0,0,1,0,6,7,9,1,16,29,6
Viburnum lentago,0,0,0,1,4,8,14,8,6,21,2
Viburnum recognitum,0,0,0,0,0,0,5,1,4,13,1
Viola labradorica,0,0,0,0,0,4,0,0,0,0,1
Viola lanceolata,0,0,0,0,5,9,9,3,6,15,2
Viola pedata,0,0,0,0,4,20,12,5,6,15,1
Viola pubescens,0,0,0,0,10,12,20,7,8,13,2
Viola sagittata,0,0,0,1,6,9,5,4,1,2,5
Vitis aestivalis,0,0,0,0,7,10,9,1,3,11,2
